topic,subtopic,name,equation_latex,description_from_image,formula_in_plain_english,description_from_gemini,sympy_formula
Oscillations and Waves,Elastic Waves. Acoustics,Acoustical Doppler Effect (Frequency Shift),\mathbf{v} = v_0 \frac{v + v_{ob}}{v - v_s},Acoustical Doppler effect.,"Observed frequency (or apparent velocity, as written) v_vector equals source frequency (or source velocity, as written) v_0 times (wave speed v plus observer speed v_ob) divided by (wave speed v minus source speed v_s).","Describes the change in frequency (or pitch) of a sound wave as perceived by an observer due to the relative motion between the source of the sound and the observer. 'v' is the speed of sound, 'v_ob' is the observer's speed, and 'v_s' is the source's speed. The formula as written uses '\mathbf{v}' on the LHS and 'v_0' on the RHS, which typically represent observed and source frequencies, respectively, in the context of the Doppler effect, despite the notation suggesting velocities.","Eq(v_doppler_obs, v_doppler_src * (v_sound + v_ob) / (v_sound - v_s))"
Oscillations and Waves,Elastic Waves. Acoustics,Loudness Level (Bels),L = \log (I/I_0),Loudness level (in bels).,Loudness level L equals the base-10 logarithm of (sound intensity I divided by reference intensity I_0).,"Defines the loudness level of a sound in bels, a logarithmic unit. It compares the intensity of a sound (I) to a reference intensity (I_0), typically the threshold of human hearing. This scale is used because human perception of loudness is logarithmic.","Eq(L, log(I / I0, 10))"
Oscillations and Waves,Elastic Waves. Acoustics,Sound Intensity from Pressure Amplitude,I = (\Delta p)_m^2 / 2\rho v,Relation between the intensity $I$ of a sound wave and the pressure oscillation amplitude $(\Delta p)_m$.,"Sound intensity I equals the pressure oscillation amplitude delta p_m squared, divided by (two times density rho times wave speed v).","Relates the intensity of a sound wave to the maximum pressure variation (amplitude) in the medium. It shows that intensity is proportional to the square of the pressure amplitude, and inversely proportional to the medium's density and the wave's speed.","Eq(I, (Delta_p_m**2) / (2 * rho * v_wave_speed))"
Oscillations and Waves,Electromagnetic Waves. Radiation,Larmor Power (Electric Dipole),P=\frac{1}{4 \pi \varepsilon_{0}} \frac{2 \dot{\mathbf{p}}^{2}}{3 c^{3}},Radiation power of an electric dipole with moment $\mathbf{p}(t)$,"The radiation power P equals one over four pi epsilon naught, multiplied by two times the square of the time derivative of the electric dipole moment p, all divided by three times the speed of light c cubed.","This formula calculates the total power radiated by an oscillating electric dipole. It is a fundamental result in classical electrodynamics, showing that the power radiated is proportional to the square of the magnitude of the time derivative of the dipole moment. It's used to describe energy loss due to electromagnetic radiation from systems like antennas.","Eq(P, (1/(4*pi*epsilon_0)) * (2 * p_dot**2) / (3 * c**3))"
Oscillations and Waves,Electromagnetic Waves. Radiation,Larmor Power (Accelerating Charge),P=\frac{1}{4 \pi \varepsilon_{0}} \frac{2 q^{2} \mathbf{w}^{2}}{3 c^{3}},"Radiation power of a charge $q$, moving with acceleration $\mathbf{w}$","The radiation power P equals one over four pi epsilon naught, multiplied by two times the square of the charge q times the square of the acceleration w, all divided by three times the speed of light c cubed.","This is Larmor's formula, which describes the total power radiated by a single non-relativistic accelerating point charge. It demonstrates that an accelerating charge loses energy by emitting electromagnetic radiation. The power radiated is proportional to the square of the charge and the square of its acceleration, and is crucial for understanding phenomena like bremsstrahlung.","Eq(P, (1/(4*pi*epsilon_0)) * (2 * q**2 * w**2) / (3 * c**3))"
Optics,Photometry and Geometrical Optics,Luminous Intensity,I = \frac{d\Phi}{d\Omega},,Luminous intensity I is the differential luminous flux dPhi per differential solid angle dOmega.,"This formula defines luminous intensity as the luminous flux emitted by a point source per unit solid angle. It quantifies how much visible light is emitted in a particular direction, indicating the directional brightness of a light source.","Eq(I, phi_diff/omega_diff)"
Optics,Photometry and Geometrical Optics,Illuminance,E = \frac{d\Phi_{inc}}{dS},,Illuminance E is the differential incident luminous flux dPhi_inc per differential surface area dS.,"This formula defines illuminance as the luminous flux incident on a surface per unit area. It measures the density of luminous flux received by a surface, indicating how brightly a surface is illuminated.","Eq(E, phi_inc_diff/S_diff)"
Optics,Photometry and Geometrical Optics,Illuminance from a Point Isotropic Source,E = \frac{I \cos \alpha}{r^2},,"Illuminance E equals luminous intensity I times the cosine of angle alpha, divided by the square of the distance r.",This formula calculates the illuminance on a surface from a point isotropic source. It shows that illuminance decreases with the square of the distance from the source and depends on the angle (alpha) between the surface normal and the direction to the source.,"Eq(E, I * cos(alpha) / r**2)"
Optics,Photometry and Geometrical Optics,Luminous Exitance (Luminosity),M = \frac{d\Phi_{emit}}{dS},,Luminous exitance M is the differential emitted luminous flux dPhi_emit per differential surface area dS.,"This formula defines luminous exitance (also known as luminosity) as the total luminous flux emitted from a surface per unit area. It quantifies the total light output from a surface, regardless of the direction of emission.","Eq(M, phi_emit_diff/S_diff)"
Optics,Photometry and Geometrical Optics,Luminance,L = \frac{d\Phi}{d\Omega \Delta S \cos \theta},,"Luminance L is the differential luminous flux dPhi per differential solid angle dOmega, differential surface area Delta S, and the cosine of angle theta.","This formula defines luminance as the luminous intensity per unit projected area of a surface, in a given direction. It describes how bright a surface appears to an observer, considering both the light emitted/reflected and the viewing angle.","Eq(L, phi_diff / (omega_diff * S_delta * cos(theta)))"
Optics,Photometry and Geometrical Optics,Luminous Exitance for a Lambert Source,M = \pi L,,Luminous exitance M equals pi times luminance L.,"This formula relates luminous exitance (M) to luminance (L) specifically for a Lambertian source. A Lambertian source appears equally bright from all viewing angles, meaning its luminance is constant across its surface when viewed from any direction.","Eq(M, pi * L)"
Optics,Photometry and Geometrical Optics,Prism Least Deviation Angle,\sin \frac{\alpha + \theta}{2} = n \sin \frac{\theta}{2},Relates the refractive angle of a prism ($\theta$) and the least deviation angle ($\alpha$) to the prism's refractive index ($n$).,The sine of half the sum of the least deviation angle and the prism's refractive angle equals the refractive index times the sine of half the prism's refractive angle.,"This formula describes the relationship between the angle of minimum deviation ($\alpha$) for a prism, the prism's refracting angle ($\theta$), and its refractive index ($n$). It's used in optics to determine the refractive index of a prism by measuring the minimum deviation angle, or to design prisms for specific deviation properties.","Eq(sin((alpha + theta)/2), n * sin(theta/2))"
Optics,Photometry and Geometrical Optics,Spherical Mirror Equation,\frac{1}{s'} + \frac{1}{s} = \frac{2}{R},"Relates image distance ($s'$), object distance ($s$), and curvature radius ($R$) for a spherical mirror.",One over the image distance plus one over the object distance equals two over the radius of curvature.,"This is the mirror equation for spherical mirrors, relating the object distance ($s$), image distance ($s'$), and the radius of curvature ($R$) of the mirror. It's used to calculate the position of an image formed by a spherical mirror given the object's position and the mirror's properties. Note that $2/R$ can also be written as $1/f$, where $f$ is the focal length.","Eq(1/sp + 1/s, 2/R)"
Optics,Photometry and Geometrical Optics,Optical System Refraction Equation,\frac{n'}{s'} - \frac{n}{s} = \Phi,"One of the equations for an aligned optical system, relating refractive indices, object/image distances, and optical power.","The refractive index of the image space divided by the image distance, minus the refractive index of the object space divided by the object distance, equals the optical power.","This equation describes refraction at a single spherical surface or within an aligned optical system. It relates the refractive index of the image space ($n'$), image distance ($s'$), refractive index of the object space ($n$), object distance ($s$), and the optical power ($\Phi$) of the surface/system. It's fundamental for tracing rays and calculating image positions in optical systems.","Eq(np/sp - n/s, Phi)"
Optics,Photometry and Geometrical Optics,Lens Equation (Generalized),\frac{f'}{s'} + \frac{f}{s} = 1,"One of the equations for an aligned optical system, relating focal lengths and object/image distances.","The image-side focal length divided by the image distance, plus the object-side focal length divided by the object distance, equals one.","This is a form of the lens equation, often used in the context of an aligned optical system. It relates the image-side focal length ($f'$), image distance ($s'$), object-side focal length ($f$), and object distance ($s$). It's used to determine image location or focal lengths in a system, particularly when working with principal planes and focal points.","Eq(fp/sp + f/s, 1)"
Optics,Photometry and Geometrical Optics,Newton's Lens Equation (Focal Points),xx' = ff',"One of the equations for an aligned optical system, relating distances from focal points and focal lengths.",The distance from the object to the object-side focal point times the distance from the image to the image-side focal point equals the product of the object-side and image-side focal lengths.,"This is Newton's form of the lens equation, where $x$ and $x'$ are the distances of the object and image from their respective focal points (object-side and image-side). $f$ and $f'$ are the object-side and image-side focal lengths. It's particularly useful when distances are measured from the focal points rather than the principal planes, simplifying calculations in certain optical system analyses.","Eq(x * xp, f * fp)"
Optics,Photometry and Geometrical Optics,Image-Side Focal Length from Optical Power,f' = \frac{n'}{\Phi},"One of the relations between focal lengths and optical power, defining the image-side focal length ($f'$) in terms of the refractive index of the image space ($n'$) and the optical power ($\Phi$).",The image-side focal length equals the refractive index of the image space divided by the optical power.,"This equation defines the image-side focal length ($f'$) in terms of the refractive index of the image space ($n'$) and the optical power ($\Phi$) of the system. It's used to calculate the image-side focal length when the optical power and the medium's refractive index are known, or vice-versa.","Eq(fp, np/Phi)"
Optics,Photometry and Geometrical Optics,Object-Side Focal Length from Optical Power,f = -\frac{n}{\Phi},"One of the relations between focal lengths and optical power, defining the object-side focal length ($f$) in terms of the refractive index of the object space ($n$) and the optical power ($\Phi$).",The object-side focal length equals the negative of the refractive index of the object space divided by the optical power.,"This equation defines the object-side focal length ($f$) in terms of the refractive index of the object space ($n$) and the optical power ($\Phi$) of the system. The negative sign indicates that for a converging system (positive $\Phi$), the object-side focal point is typically on the 'left' or before the principal plane, relative to the direction of light propagation. It's used to calculate the object-side focal length.","Eq(f, -n/Phi)"
Optics,Photometry and Geometrical Optics,Ratio of Focal Lengths and Refractive Indices,\frac{f'}{f} = -\frac{n'}{n},"One of the relations between focal lengths and optical power, relating the ratio of image-side to object-side focal lengths to the ratio of image-space to object-space refractive indices.",The ratio of the image-side focal length to the object-side focal length equals the negative ratio of the image-space refractive index to the object-space refractive index.,"This equation shows the relationship between the ratio of the image-side focal length ($f'$) to the object-side focal length ($f$) and the ratio of the refractive indices of the image space ($n'$) and object space ($n$). It's a fundamental relation in Gaussian optics, particularly useful when the optical system is immersed in different media on its object and image sides, and it highlights the asymmetry of focal lengths in such cases.","Eq(fp/f, -np/n)"
Optics,Photometry and Geometrical Optics,Optical Power of Spherical Refractive Surface,\Phi = \frac{n' - n}{R},"Defines the optical power ($\Phi$) of a spherical refractive surface based on the refractive indices of the two media ($n'$, $n$) and the radius of curvature ($R$).","Optical power equals the difference between the image-space refractive index and the object-space refractive index, divided by the radius of curvature.","This formula calculates the optical power ($\Phi$) of a single spherical refractive surface. $n'$ is the refractive index of the medium after the surface, $n$ is the refractive index of the medium before the surface, and $R$ is the radius of curvature of the surface. It's used to characterize the focusing or diverging ability of a curved interface between two different optical media.","Eq(Phi, (np - n)/R)"
Optics,Photometry and Geometrical Optics,Optical Power of Thin Lens (Lensmaker's Equation),\Phi = (n - n_0) \left( \frac{1}{R_1} - \frac{1}{R_2} \right),"Calculates the optical power ($\Phi$) of a thin lens in a medium with refractive index $n_0$, based on the lens's refractive index ($n$) and its radii of curvature ($R_1$, $R_2$).","Optical power equals the difference between the lens's refractive index and the surrounding medium's refractive index, multiplied by the difference of the reciprocals of the first and second radii of curvature.","This is the lensmaker's equation for the optical power ($\Phi$) of a thin lens. $n$ is the refractive index of the lens material, $n_0$ is the refractive index of the surrounding medium, and $R_1$ and $R_2$ are the radii of curvature of the first and second lens surfaces, respectively. It's used to design lenses with a specific optical power or to determine the power of an existing thin lens.","Eq(Phi, (n - n0) * (1/R1 - 1/R2))"
Optics,Photometry and Geometrical Optics,Optical Power of Thick Lens or Two Thin Lenses,\Phi = \Phi_1 + \Phi_2 - \frac{d}{n} \Phi_1 \Phi_2,"Calculates the total optical power ($\Phi$) of a thick lens or a system of two thin lenses, based on their individual powers ($\Phi_1$, $\Phi_2$), the lens thickness or separation ($d$), and the refractive index of the lens material or separating medium ($n$).","Total optical power equals the sum of the individual optical powers minus the product of the thickness, the individual powers, divided by the refractive index.","This formula calculates the equivalent optical power ($\Phi$) of a thick lens or a system of two thin lenses separated by a distance $d$. $\Phi_1$ and $\Phi_2$ are the optical powers of the individual surfaces or lenses, and $n$ is the refractive index of the lens material (for a thick lens) or the medium separating the two thin lenses. It accounts for the effect of the separation between optical elements on the overall power of the system.","Eq(Phi, Phi1 + Phi2 - (d/n) * Phi1 * Phi2)"
Optics,Photometry and Geometrical Optics,Principal Plane Distance X,X = \frac{d}{n} \frac{\Phi_2}{\Phi},Principal planes H and H' are removed from the crest points O and O' of surfaces of a thick lens (Fig. 5.3) by the following distances.,X equals d over n times Phi two over Phi.,"This formula calculates the distance X from the crest point O to the principal plane H of a thick lens. It depends on the lens thickness (d), refractive index (n), and the powers of the second surface (Φ₂) and the entire lens (Φ). It's used in thick lens optics to locate the principal planes.","Eq(X, d/n * Phi_2/Phi)"
Optics,Photometry and Geometrical Optics,Principal Plane Distance X',X' = -\frac{d}{n} \frac{\Phi_1}{\Phi},Principal planes H and H' are removed from the crest points O and O' of surfaces of a thick lens (Fig. 5.3) by the following distances.,X prime equals negative d over n times Phi one over Phi.,"This formula calculates the distance X' from the crest point O' to the principal plane H' of a thick lens. It depends on the lens thickness (d), refractive index (n), and the powers of the first surface (Φ₁) and the entire lens (Φ). The negative sign indicates the direction relative to O'. It's used in thick lens optics to locate the principal planes.","Eq(X_prime, -d/n * Phi_1/Phi)"
Optics,Photometry and Geometrical Optics,Lagrange-Helmholtz Invariant,nyu = \text{const.},Lagrange-Helmholtz invariant.,n y u equals a constant.,"The Lagrange-Helmholtz invariant, also known as the optical invariant, states that for paraxial rays in an optical system, the product of the refractive index (n), the object height (y), and the angle of the ray with the optical axis (u) remains constant. It's a fundamental principle in geometrical optics, particularly useful for analyzing image formation and magnification in optical systems.","Eq(n*y*u, Symbol('const'))"
Optics,Photometry and Geometrical Optics,Magnifying Power,\Gamma = \frac{\tan \psi'}{\tan \psi},Magnifying power of an optical device: where $\psi'$ and $\psi$ are the angles subtended at the eye by an image formed by the optical device and by the corresponding object at a distance for convenient viewing (in the case of a microscope or magnifying glass that distance is equal to $l_0 = 25$ cm).,Gamma equals the tangent of psi prime over the tangent of psi.,This formula defines the angular magnifying power (Γ) of an optical device. It's the ratio of the angle (ψ') subtended by the image at the eye when viewed through the device to the angle (ψ) subtended by the object at the eye when viewed directly from a convenient viewing distance (often 25 cm for microscopes/magnifying glasses). It quantifies how much larger an object appears angularly through the device.,"Eq(Gamma, tan(psi_prime)/tan(psi))"
Optics,Diffraction of Light,Radius of k-th Fresnel Zone,r_k = \sqrt{k\lambda \frac{ab}{a+b}},Radius of the periphery of the $k$th Fresnel zone; $k$ takes integer values starting from 1.,"The radius of the k-th Fresnel zone is equal to the square root of k times lambda times a times b, all divided by the sum of a and b.","This formula calculates the radius of the k-th Fresnel zone, which is a conceptual region on a wavefront used in Fresnel diffraction theory. It helps to determine the contribution of different parts of a wavefront to the light intensity at an observation point. Here, 'a' is the distance from the source to the wavefront, 'b' is the distance from the wavefront to the observation point, 'k' is the zone number, and 'λ' is the wavelength of light.","Eq(r_k, sqrt(k*lamda*a*b/(a+b)))"
Optics,Diffraction of Light,Cornu Spiral Parameter for Plane Wave,v = x\sqrt{2/b\lambda},"Parameter $v$ for Cornu's spiral in the case of a plane wave, where $x$ and $b$ are distances defining the position of the element $dS$ of a wavefront relative to the observation point $P$ as shown in Fig. 5.19.",The parameter v is equal to x times the square root of 2 divided by the product of b and lambda.,"This formula defines the parameter 'v' used in the construction of Cornu's spiral specifically for a plane wave. Cornu's spiral is a graphical method used in Fresnel diffraction to calculate the resultant amplitude and phase of diffracted light. 'x' represents a transverse distance on the wavefront, 'b' is the distance from the wavefront to the observation point, and 'λ' is the wavelength of light.","Eq(v, x*sqrt(2/(b*lamda)))"
Atomic and Nuclear Physics,Properties of Atoms. Spectra,Atomic Term Symbol,\kappa(L)_{J},Spectral labelling of terms,Kappa L J,"This is the standard spectroscopic term symbol used to label atomic energy levels. Kappa represents the multiplicity, L is the total orbital angular momentum quantum number, and J is the total angular momentum quantum number. It's used to classify atomic states based on their angular momenta.",Symbol('kappa(L)_J')
Atomic and Nuclear Physics,Properties of Atoms. Spectra,Multiplicity Formula,\kappa = 2S + 1,kappa is the multiplicity,Kappa equals two S plus one,"This formula defines the spin multiplicity (kappa) of an atomic term, which is determined by the total spin angular momentum quantum number (S). It indicates the number of possible orientations of the total spin angular momentum in an external magnetic field. Used in atomic spectroscopy to characterize energy levels.","Eq(kappa, 2*S + 1)"
Atomic and Nuclear Physics,Properties of Atoms. Spectra,Orbital Angular Momentum Quantum Number Values,"L = 0, 1, 2, 3, 4, 5, 6, \ldots",L are quantum numbers,"L equals zero, one, two, three, four, five, six, and so on","This lists the possible integer values for the total orbital angular momentum quantum number (L). Each value corresponds to a specific spectroscopic notation (S, P, D, F, etc.) for atomic states. It's fundamental for classifying atomic energy levels.",L
Thermodynamics and Molecular Physics,The Second Law of Thermodynamics. Entropy,Heat Engine Efficiency (Work/Heat Input),\eta = \frac{A}{Q_1},$Q_1$ is the heat obtained by the working substance. $A$ represents the work done by the engine.,Efficiency equals work done divided by heat input.,This formula defines the thermal efficiency of a heat engine as the ratio of the useful work output ($A$) to the heat absorbed from the hot reservoir ($Q_1$). It's used to quantify how effectively a heat engine converts heat into mechanical work.,"Eq(eta, A/Q1)"
Thermodynamics and Molecular Physics,The Second Law of Thermodynamics. Entropy,Heat Engine Efficiency (Heat Input/Output),\eta = 1 - \frac{Q'_2}{Q_1},"$Q_1$ is the heat obtained by the working substance, $Q'_2$ is the heat released by the working substance.",Efficiency equals one minus the ratio of heat released to heat obtained.,"This formula expresses the thermal efficiency of a heat engine in terms of the heat absorbed from the hot reservoir ($Q_1$) and the heat rejected to the cold reservoir ($Q'_2$). It highlights that efficiency is limited by the heat rejected, and a perfect engine would reject no heat.","Eq(eta, 1 - Q_prime2/Q1)"
Thermodynamics and Molecular Physics,The Second Law of Thermodynamics. Entropy,Carnot Cycle Efficiency,\eta = \frac{T_1 - T_2}{T_1},$T_1$ and $T_2$ are the temperatures of the hot and cold bodies respectively.,Efficiency equals the difference between hot and cold temperatures divided by the hot temperature.,"This formula gives the maximum possible efficiency for any heat engine operating between two temperatures, $T_1$ (hot reservoir) and $T_2$ (cold reservoir). It's a theoretical upper limit for efficiency, achieved only by a reversible Carnot engine. Temperatures must be in Kelvin.","Eq(eta, (T1 - T2)/T1)"
Thermodynamics and Molecular Physics,The Second Law of Thermodynamics. Entropy,Clausius Inequality,\oint \frac{\delta Q}{T} \leqslant 0,$\delta Q$ is the elementary amount of heat transferred to the system ($\delta Q$ is an algebraic quantity).,The cyclic integral of elementary heat transfer divided by temperature is less than or equal to zero.,"The Clausius inequality states that for any cyclic process, the integral of $\delta Q / T$ around the cycle is less than or equal to zero. For a reversible cycle, it's equal to zero, and for an irreversible cycle, it's less than zero. It's a fundamental statement of the Second Law of Thermodynamics, leading to the concept of entropy.","Le(Integral(delta_Q/T), 0)"
Thermodynamics and Molecular Physics,The Second Law of Thermodynamics. Entropy,Entropy Increment,\Delta S \geqslant \int \frac{\delta Q}{T},$\delta Q$ is the elementary amount of heat transferred to the system.,The change in entropy is greater than or equal to the integral of elementary heat transfer divided by temperature.,"This formula states that the change in entropy ($\Delta S$) of a system is always greater than or equal to the integral of the heat transferred ($\delta Q$) divided by the absolute temperature ($T$) at which the transfer occurs. The equality holds for reversible processes, and the inequality for irreversible processes, reflecting the increase in entropy in isolated systems.","Ge(Delta_S, Integral(delta_Q/T))"
Thermodynamics and Molecular Physics,The Second Law of Thermodynamics. Entropy,Fundamental Relation of Thermodynamics,"T \, dS \geqslant dU + p \, dV",No specific description provided in the source.,Temperature times the change in entropy is greater than or equal to the change in internal energy plus pressure times the change in volume.,"This is a combined statement of the first and second laws of thermodynamics for a closed system undergoing a reversible process (equality) or an irreversible process (inequality). It relates changes in internal energy ($dU$), entropy ($dS$), volume ($dV$), temperature ($T$), and pressure ($p$). It's fundamental for deriving other thermodynamic potentials.","Ge(T*dS, dU + p*dV)"
Thermodynamics and Molecular Physics,The Second Law of Thermodynamics. Entropy,Boltzmann's Entropy Formula (Statistical Entropy),S = k \ln \Omega,"$\Omega$ is the statistical weight (the thermodynamic probability), $k$ is the Boltzmann constant.",Entropy equals Boltzmann's constant times the natural logarithm of the number of microstates.,"This formula, known as Boltzmann's entropy formula, connects the macroscopic thermodynamic property of entropy ($S$) to the microscopic statistical property of the number of microstates ($\Omega$) corresponding to a given macroscopic state. $k$ is the Boltzmann constant. It's a cornerstone of statistical mechanics.","Eq(S, k*ln(Omega))"
Optics,Dispersion and Absorption of Light,Permittivity of Substance (Dispersion Theory),\varepsilon = 1 + \sum_{h} \frac{n_{h} e^{2} / m \varepsilon_{0}}{\omega_{0h}^{2} - \omega^{2}},Permittivity of substance according to elementary theory of dispersion. Where $n_{h}$ is the concentration of electrons of natural frequency $\omega_{0h}$.,Epsilon equals one plus the sum over h of (n sub h times e squared divided by m times epsilon naught) all divided by (omega naught h squared minus omega squared).,"This formula describes the frequency-dependent permittivity ($\varepsilon$) of a material based on the elementary theory of dispersion. It models how a material responds to an oscillating electric field, considering the contributions of different types of electrons (indexed by $h$) with natural frequencies ($\omega_{0h}$). It's used to understand how light interacts with matter, leading to phenomena like refraction and absorption.","Eq(epsilon, 1 + Sum((n_h * e**2 / (m * epsilon_0)) / (omega_0h**2 - omega**2), (h, None, None)))"
Optics,Dispersion and Absorption of Light,Refractive Index and Permittivity Relation,n = \sqrt{\varepsilon},Relation between refractive index and permittivity of substance.,The refractive index n equals the square root of the permittivity epsilon.,This fundamental relation connects the refractive index ($n$) of a material to its relative permittivity ($\varepsilon$). It's valid for non-magnetic materials and describes how much light slows down when passing through the material compared to a vacuum. It's crucial in optics for understanding refraction and reflection.,"Eq(n, sqrt(epsilon))"
Optics,Dispersion and Absorption of Light,Phase Velocity,v = \omega / k,Phase velocity $v$ and group velocity $u$.,The phase velocity v equals the angular frequency omega divided by the wave number k.,"This formula defines the phase velocity ($v$) of a wave, which is the speed at which a point of constant phase on the wave propagates. It's the speed of individual crests or troughs. It's used in wave mechanics, optics, and acoustics to describe the propagation of monochromatic waves.","Eq(v, omega / k)"
Optics,Dispersion and Absorption of Light,Group Velocity,u = d\omega / dk,Phase velocity $v$ and group velocity $u$.,The group velocity u equals the derivative of the angular frequency omega with respect to the wave number k.,"This formula defines the group velocity ($u$) of a wave packet, which is the speed at which the overall shape of the wave's amplitude (the envelope) propagates through space. It represents the speed at which energy or information is transmitted. It's crucial in dispersive media where phase velocity varies with frequency.","Eq(u, diff(omega, k))"
Optics,Dispersion and Absorption of Light,Rayleigh's Formula (Group Velocity),u = v - \lambda \frac{dv}{d\lambda},Rayleigh's formula.,The group velocity u equals the phase velocity v minus the wavelength lambda times the derivative of the phase velocity v with respect to the wavelength lambda.,"Rayleigh's formula relates the group velocity ($u$) to the phase velocity ($v$) and its dispersion with respect to wavelength ($\lambda$). It's particularly useful for calculating group velocity when the phase velocity is known as a function of wavelength, especially in dispersive media.","Eq(u, v - Lambda * diff(v, Lambda))"
Optics,Dispersion and Absorption of Light,Beer-Lambert Law (Attenuation),I = I_{0} e^{-\mu d},"Attenuation of a narrow beam of electromagnetic radiation. Where $\mu = x + x'$, $\mu, x, x'$ are the coefficients of linear attenuation, absorption, and scattering.",The intensity I equals the initial intensity I naught times e to the power of negative mu times d.,"This formula, often associated with the Beer-Lambert Law, describes the exponential attenuation of the intensity ($I$) of a narrow beam of electromagnetic radiation as it passes through a medium of thickness ($d$). $I_0$ is the initial intensity, and $\mu$ is the linear attenuation coefficient. It's widely used in spectroscopy, medical imaging (e.g., X-rays), and radiation shielding.","Eq(I, I_0 * exp(-mu * d))"
Optics,Dispersion and Absorption of Light,Linear Attenuation Coefficient,\mu = x + x',"Where $\mu = x + x'$, $\mu, x, x'$ are the coefficients of linear attenuation, absorption, and scattering.",Mu equals x plus x prime.,This equation defines the total linear attenuation coefficient ($\mu$) as the sum of the linear absorption coefficient ($x$) and the linear scattering coefficient ($x'$). It quantifies how much radiation is removed from a beam per unit path length due to both absorption (energy conversion) and scattering (direction change). It's used in contexts like radiation transport and material science.,"Eq(mu, x + x_prime)"
Optics,Optics of Moving Sources,Doppler effect (non-relativistic),\frac{\Delta\omega}{\omega} = \frac{v}{c}\cos\theta,"where $v$ is the velocity of a source, $\theta$ is the angle between the source's motion direction and the observation line.","The fractional change in observed frequency is equal to the ratio of the source's velocity to the speed of light, multiplied by the cosine of the angle between the source's motion and the observation line.","This formula describes the non-relativistic Doppler effect, which is the change in frequency of a wave due to the relative motion between the source and the observer. It is applicable when the source's velocity ($v$) is much less than the speed of light ($c$).","Eq(Delta(omega)/omega, (v/c)*cos(theta))"
Optics,Optics of Moving Sources,Relativistic Doppler effect,\omega = \omega_0 \frac{\sqrt{1 - \beta^2}}{1 - \beta \cos \theta},where $\beta = v/c$.,"The observed frequency is equal to the source's rest frequency multiplied by the square root of one minus beta squared, all divided by one minus beta times the cosine of the angle.","This formula describes the relativistic Doppler effect, which accounts for the change in frequency of light or sound waves when the source and observer are in relative motion, especially at speeds approaching the speed of light. It incorporates time dilation and length contraction effects, where $\beta$ is the velocity ratio $v/c$.","Eq(omega, omega_0 * sqrt(1 - beta**2) / (1 - beta * cos(theta)))"
Optics,Optics of Moving Sources,Vavilov-Cherenkov effect angle,\cos \theta = \frac{c}{nv},where $\theta$ is the angle between the radiation propagation direction and the velocity vector $v$ of a particle.,The cosine of the Cherenkov angle is equal to the speed of light in vacuum divided by the product of the refractive index of the medium and the particle's velocity.,This formula describes the angle $\theta$ at which Cherenkov radiation is emitted. Cherenkov radiation occurs when a charged particle passes through a dielectric medium at a speed greater than the phase velocity of light in that medium. $n$ is the refractive index of the medium.,"Eq(cos(theta), c / (n * v))"
Atomic and Nuclear Physics,Scattering of Particles. Rutherford-Bohr Atom,Angle of deflection in Coulomb scattering,\tan \frac{\theta}{2} = \frac{q_1 q_2}{2bT},None,The tangent of half the deflection angle equals the product of the charges divided by twice the impact parameter times the kinetic energy.,"This formula describes the relationship between the scattering angle ($\theta$) and the parameters of the collision in Rutherford scattering. It's used to calculate how much a charged particle is deflected by the Coulomb field of an atomic nucleus, based on the charges of the particle ($q_1$) and nucleus ($q_2$), the impact parameter ($b$), and the kinetic energy ($T$) of the striking particle.","Eq(tan(theta/2), (q1 * q2) / (2 * b * T))"
Atomic and Nuclear Physics,Scattering of Particles. Rutherford-Bohr Atom,Rutherford scattering formula (differential cross-section),\frac{dN}{N} = n \left( \frac{q_1 q_2}{4T} \right)^2 \frac{d\Omega}{\sin^4 (\theta/2)},None,"The relative number of scattered particles is proportional to the number of nuclei per unit area, the square of the charge product divided by four times the kinetic energy, and the solid angle divided by the fourth power of the sine of half the scattering angle.","This is the Rutherford scattering formula, which gives the relative number of particles ($dN/N$) scattered into an elementary solid angle ($d\Omega$) at a given angle ($\theta$). It's fundamental in nuclear physics for understanding the structure of the atom, specifically how alpha particles are scattered by atomic nuclei, leading to the discovery of the atomic nucleus. It depends on the number of nuclei per unit area ($n$), the charges ($q_1, q_2$), and kinetic energy ($T$).","Eq(dN/N, n * ((q1 * q2) / (4 * T))**2 * (dOmega / sin(theta/2)**4))"
Atomic and Nuclear Physics,Scattering of Particles. Rutherford-Bohr Atom,Elementary solid angle in spherical coordinates,"d\Omega = \sin \theta \, d\theta \, d\varphi",None,The elementary solid angle is the sine of the polar angle times the differential polar angle times the differential azimuthal angle.,"This formula defines an infinitesimal solid angle element ($d\Omega$) in spherical coordinates. It's used in calculations involving integration over a sphere, such as in scattering experiments where particles are detected over a range of angles, with $\theta$ being the polar angle and $\varphi$ the azimuthal angle.","Eq(dOmega, sin(theta) * dtheta * dphi)"
